Docteur Tweety - TWEXLIST - www.twexlist.com

Sample: The last 50 active members of the list "followers" for Twitter account @feedingtubepaul

Followers;Percentage;Following;Percentage;Location;%;Verified;%;Protected;%;Creation;%;
Less than 500;24%;Less than 50;0%;;16%;Yes;0%;Yes;0%;2017;20%;
Between 500 and 1 000;14%;Between 50 and 100;0%;Virginia, USA;4%;No;100%;No;100%;2016;14%;
Between 1 000 and 5 000;26%;Between 100 and 500;6%;Pennsylvania, USA;4%;Language;%;Active;%;2015;8%;
Between 5 000 and 10 000;8%;Between 500 and 1 000;12%;Southern California;4%;en;96%;Today;52%;2014;4%;
Between 10 000 and 20 000;10%;Between 1 000 and 5 000;50%;Los Angeles, CA;2%;id;2%;Less than 2 days;90%;2013;16%;
Between 20 000 and 50 000;10%;Between 5 000 and 10 000;10%;New Orleans, LA;2%;fr;2%;Less than 1 week;96%;2012;6%;
Between 50 000 and 100 000;0%;Between 10 000 and 50 000;12%;Gaea;2%;;;Less than 1 month;96%;2011;12%;
More than 100 000 ;8%;More than 50 000;10%;Syracuse, NY;2%;;;Less than 3 months;96%;2010;6%;

Twitter account;Name;Creation;Time Zone;Location;Language;Followers;Following;Statuses;Verified;Protected;Translator;Last tweet;Description;URL;Email;
@juliettewithher;Juliette;2013-01-13 20:38:50;Atlantic Time (Canada);Virginia, USA;en;4963;4894;20749;;;;2017-11-26 17:23:05;fear is always with us, we just don t have time for it — not now! #StillWithHer • Democrat • #NeverBernie, #NeverTrump • Steelers • RIP Erid ❤;https://www.hillaryclinton.com/issues/;;
@Amplitude350Lee;❄️Snowflake Power❄️;2016-04-20 01:53:11;Eastern Time (US & Canada);-;en;7468;7083;120381;;;;2017-11-27 02:21:30;Never underestimate the power of snowflakes in large numbers. Decrepit but spirited.  #TheResistance. Atheist. Militantly pro-choice.  No lists or MGWV.;;;
@KennethHeer;Ken Pa. Happy Thanksgiving;2011-11-29 15:24:23;America/New_York;USA, q1xqz1zq1xqz1Earth ;en;1801;3039;14717;;;;2017-11-27 02:05:55;-Leo C. Rosten _ A conservative is one who admires radicals centuries after they re dead.#blockedbycovfefe#FBR #Resist;;;
@neverwithhim1;Elle_L;2017-08-27 00:17:10;Pacific Time (US & Canada);Pennsylvania, USA;en;359;644;747;;;;2017-11-27 00:50:39;Proud survivor of the Bowling Green Massacre. Salty. #resist #TheResistance #ImpeachTrump #YoureThePuppet;;;
@Hbobrow1Hbobrow;Harvey Bobrow;2013-10-29 22:51:02;;Canada;en;3271;3183;10222;;;;2017-11-26 20:17:56;Poly Sci/Economics grad.Part time political op-ed writer. Social liberal. Ex:Businessman/Real estate. Canadian Perspective #impeachTrump #canadianresistance;;;
@3L3V3NTH;ΞLΞVΞNTH;2015-01-13 12:13:32;Pacific Time (US & Canada);Gaea;en;29018;1652;33004;;;;2017-11-27 02:18:03;I make stuff-Your wish isn t my command-I m more sarcastic in person- https://t.co/sgZ2P9XCkc;http://www.3l3v3nth.com/;;
@DaenerysResists;🦃Daenerys🦃;2017-02-18 07:32:09;Central Time (US & Canada);Westeros;en;15504;9640;14882;;;;2017-11-27 01:37:05;🔥Khaleesi, Queen, Mother of Dragons, Breaker of Chains, Team Leader of #WeResist  Co-Founder of #RWU, #TheResistance🔥;http://indivisibleguide.com;;
@DW_Montgomery;Montysaurus;2012-03-04 18:57:26;Central Time (US & Canada);Winnipeg, Manitoba;en;265;602;6146;;;;2017-11-27 00:57:05;Proud to be a progressive liberal. Married to a hot ginger and proud dad to my Boy, my Cat and my two Scotties;http://www.wpgmonty.tumblr.com/;;
@TimFaulkner_81;Timbo Resists;2016-06-11 02:24:19;;Oswego, NY;en;1929;4299;41674;;;;2017-11-27 02:09:55;#Resistance #TeamPatriot Ceramic Engineering & MBA from Alfred University #ImpeachTrump #TrumpRussia #EqualRights #SinglePayer #AnimalRights; Sabres & Bills Fan;;;
@jilevin;🗽Jeffrey Levin 🗽;2009-03-16 18:42:55;Pacific Time (US & Canada);San Jose, CA;en;573164;415256;418717;;;;2017-11-27 02:20:05;Marketing Programs Manager, social media, human rights, politics and news junkie, equality. #RESIST #DemForce;http://www.linkedin.com/in/jeffreylevin;;
@unacuhcp;UNAC/UHCP;2010-07-02 00:48:22;Pacific Time (US & Canada);Southern California;en;11964;10933;5944;;;;2017-11-26 21:55:03;Southern California nurses, PharmDs & health care professionals union. Affiliate of AFSCME, AFL-CIO. Tweeting about health care and labor issues.;http://www.unacuhcp.org;;
@Elviraafterthot;BlueStateResistance;2009-09-03 21:06:17;Mountain Time (US & Canada);United States;en;6605;7245;34781;;;;2017-11-27 01:53:39;Art art and more art... I pretty much dislike anything GOP #25thamendmentnow #theresistance #impeachtrump  #IQ45 .Healthcare for all!  #IHDT;;;
@PerplexedInXs;Annoyed Human❄️ 🐘;2017-10-22 12:16:44;;Earth (isn t flat btw);en;451;1195;2628;;;;2017-11-27 02:21:09;Trump is pure evil. My words are mine, RT s aren t. Rude dude with a bad attitude. Not pc and proud of it. Swears and typos 🔞 Blocklists=BAD;http://TrumpSuxDonkeyBalls.org;;
@TheresaPaige2;Theresa Paige;2016-03-29 22:41:16;;Illinois, USA;en;8;322;669;;1;;;;;;
@DeniseDuncanRN;Denise Duncan, RN;2017-10-24 18:56:37;Pacific Time (US & Canada);Southern California;en;780;1264;60;;;;2017-11-22 20:55:46;Registered nurse committed to patient advocacy at the bedside and in the community. President of @unacuhcp, representing 30k nurses & health care professionals;http://unacuhcp.org;;
@ColSand42;Robert;2009-09-18 17:48:18;Eastern Time (US & Canada);New York, USA;en;15035;15675;5269;;;;2017-11-27 02:18:18;When Life Gives You Lemons...Break Out The Tequila and Salt!!! Business Owner / Veteran / Anti-Trumper #TheResistance Not being rude to you, I don t answer DM s;;;
@itsdreamlist;тнє__traVel__pOsT;2017-06-20 16:40:02;;South Carolina, USA;en;47361;51284;2532;;;;2017-11-25 16:55:05;;;;
@mcse_approved;My Name Is Eamon;2010-10-13 22:24:53;Pacific Time (US & Canada);Belfast, Northern Ireland;en;703;1416;2781;;;;2017-11-26 14:18:55;I Don t work in I.T. I am a binman and no I won t take your bins out.  Have a daughter in university.... I am broke.YNWA;http://www.takeyourownfuckingbinsout.com;;
@MaggieLawson78;Maggie Lawson;2017-10-18 13:36:27;;Port St Lucie, FL;en;146;201;10;;;;2017-11-21 04:12:49;I will be on this terrible social platform until the “Imbecile In Chief” is out of office. Do NOT normalize Trump. #StillWithHer #FollowBackResistance;;;
@DevilisRepublcn;TheDevilisRepublican;2009-11-01 05:22:31;Pacific Time (US & Canada);Los Angeles, CA;en;6234;5790;3092;;;;2017-11-26 22:39:13;#Democrat #Liberal #Progressive #resist  #TheResistance . #UniteBlue    #TheDevilIsRepublican  #TheDevilIsARepublican #VoteBlue #DemForce;https://TheDevilIsARepublican.com;;
